Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1211,27250710,"Tuna rice casserole, made with mushroom soup, no vegetables",8.07,4.94,13.32,132
1212,27260080,"Meat loaf, made with beef and pork",17.0398,9.55,6.54,185
1213,27260090,"Meat loaf, made with beef, veal and pork",17.98,4.8799,6.6299,147
1214,27260100,"Meat loaf, made with beef and pork, with tomato-based sauce",14.23,7.11,6.54,150
1215,27311310,"Beef stew, in tomato-based sauce, with potatoes and carrots (Dinty Moore)",5.23,3.96,8.2599,90
1216,27311320,"Beef stew, in tomato-based sauce, with potatoes, no carrots",6.62,2.3199,8.5298,82
1217,27311410,"Beef stew, in gravy, with potatoes and carrots",6.21,2.18,8.5899,79
1218,27311420,"Beef stew, in gravy, with potatoes, no carrots",6.75,2.3799,8.48,83
1219,27311510,"Shepherd's pie, made with beef",6.36,3.1499,14.16,109
1220,27313110,"Beef chow mein (chop suey), with chow mein noodles",10.74,4.45,11.58,128
1221,27315250,"Stuffed cabbage rolls, with beef and rice",8.49,4.91,8.46,112
1222,27315270,"Stuffed grape leaves, with beef and rice",7.9299,18.14,11.3599,235
1223,27317010,Beef pot pie,7.99,13.5,17.09,223
1224,27320310,"Pork chow mein (chop suey), with chow mein noodles",10.3698,5.94,11.58,142
1225,27320500,"Sweet and sour pork, with rice",10.24,6.9,19.93,184
1226,27330010,"Shepherd's pie, made with lamb",6.98,5.04,12.47,122
1227,27330030,"Lamb stew, in gravy, with potatoes and carrots",8.82,2.2799,11.69,103
1228,27330110,"Lamb stew, in gravy, with potatoes, no carrots",8.7798,2.2999,10.74,99
1229,27330170,"Stuffed grape leaves, with lamb and rice",8.22,21.18,11.93,266
1230,27330210,"Lamb stew, in tomato-based sauce, with potatoes and carrots",8.2698,1.87,11.68,97
1231,27330220,"Lamb stew, in tomato-based sauce, with potatoes, no carrots",8.22,1.8798,10.73,93
1232,27335100,"Rabbit stew, with potatoes and vegetables",6.9699,1.81,4.44,63
1233,27336100,"Venison, (deer), stew, in tomato-based sauce, with potatoes and carrots",7.5,0.78,8.5398,71
1234,27336150,"Venison, (deer), stew, in tomato-based sauce, with potatoes, no carrots",7.7599,0.78,8.5398,72
1235,27336200,"Venison, (deer), stew, in gravy, with potatoes and carrots",7.6799,1.57,8.8498,81
1236,27336250,"Venison, (deer), stew, in gravy, with potatoes, no carrots",8.0298,1.62,9.2898,85
1237,27341000,"Chicken or turkey, potatoes, corn, and cheese, with gravy (KFC Mashed Potato Bowl with Gravy)",4.96,6.96,13.58,133
1238,27341310,"Chicken or turkey stew, in gravy, with potatoes and carrots",6.23,1.85,7.8498,73
1239,27341320,"Chicken or turkey stew, in gravy, with potatoes, no carrots",6.7199,1.83,8.58,77
1240,27341510,"Chicken or turkey stew, in tomato-based sauce, with potatoes and carrots",6.48,1.8898,9.24,78
1241,27341520,"Chicken or turkey stew, in tomato-based sauce, with potato, no carrots",6.9699,1.86,9.91,83
1242,27343470,"Chicken or turkey noodle casserole, made with mushroom soup, with carrots",7.21,3.66,12.3599,111
1243,27343480,"Chicken or turkey noodle casserole, made with mushroom soup, no carrots",7.49,3.68,11.5398,109
